"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-12-31,"63042","MO","St. Louis","Saint Louis County","Hazelwood",4918,960,0.0114,0.0293,0.0308,6680
2019-12-31,"61802","IL","Champaign-Urbana","Champaign County","Urbana",4919,960,0.0285,0.0601,0.0555,4359
2019-12-31,"31548","GA","St. Marys","Camden County","Kingsland",4920,1050,-0.0134,-0.0344,0.0224,9506
2019-12-31,"83647","ID","Mountain Home","Elmore County","Mountain Home",4921,990,-0.0152,-0.056,0.0339,8634
2019-12-31,"23693","VA","Virginia Beach-Norfolk-Newport News","York County","Yorktown",4922,1520,-0.0194,-0.0105,-0.0459,8512
2019-12-31,"43452","OH","Port Clinton","Ottawa County","Port Clinton",4923,1180,0.0042,0.0149,0.01,8850
2019-12-31,"89048","NV","Pahrump","Nye County","Pahrump",4924,1160,0.0116,0.0191,0.0581,5965
2019-12-31,"77053","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",4925,1530,0.0167,0.0294,0.0156,9076
2019-12-31,"33028","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Pembroke Pines",4926,2150,-0.0224,-0.0014,0.0547,11121
2019-12-31,"41015","KY","Cincinnati","Kenton County","Covington",4927,1080,0.0119,-0.0032,0.0646,5715
2019-12-31,"27539","NC","Raleigh","Wake County","Apex",4928,1520,-0.0236,-0.0049,0.008,9113
2019-12-31,"70460","LA","New Orleans-Metairie","Saint Tammany Parish","Slidell",4929,1220,0.0043,0.0158,-0.0016,8776
2019-12-31,"61115","IL","Rockford","Winnebago County","Machesney Park",4930,950,-0.0039,0.0324,0.0269,8729
2019-12-31,"78261","TX","San Antonio-New Braunfels","Bexar County","San Antonio",4931,1690,0.0117,0.002,0.0805,11008
2019-12-31,"15120","PA","Pittsburgh","Allegheny County","Munhall",4932,880,-0.004,0.0075,-0.0039,7469
2019-12-31,"47129","IN","Louisville/Jefferson County","Clark County","Clarksville",4933,1040,0.0164,0.0282,0.0833,5870
2019-12-31,"02910","RI","Providence-Warwick","Providence County","Cranston",4934,1320,-0.0229,0.0184,0.0438,7478
2019-12-31,"48348","MI","Detroit-Warren-Dearborn","Oakland County","Clarkston",4935,2080,0.009,-0.0175,0.0039,10218
2019-12-31,"64134","MO","Kansas City","Jackson County","Kansas City",4936,920,0.009,0.0242,-0.0061,8654
2019-12-31,"32952","FL","Palm Bay-Melbourne-Titusville","Brevard County","Merritt Island",4937,1540,-0.0043,-0.0043,0.0019,10232
2019-12-31,"49017","MI","Battle Creek","Calhoun County","Battle Creek",4938,840,-0.0067,0.0154,0.0217,1064
2019-12-31,"77020","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",4939,1230,0.0049,0.017,-0.0429,7362
2019-12-31,"19007","PA","Philadelphia-Camden-Wilmington","Bucks County","Bristol Township",4940,1560,0.007,-0.0014,0.0366,6439
2019-12-31,"79603","TX","Abilene","Taylor County","Abilene",4941,830,0.0009,0.0264,0.0163,8178
2019-12-31,"19064","PA","Philadelphia-Camden-Wilmington","Delaware County","Springfield",4942,1610,0.0125,-0.0135,0.0356,8753
2019-12-31,"49770","MI",,"Emmet County","Petoskey",4943,1120,0.0074,0.0331,0.019,1168
2019-12-31,"79072","TX","Plainview","Hale County","Plainview",4944,1110,-0.0233,-0.0236,-0.0294,2147
2019-12-31,"33189","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Cutler Bay",4945,1730,0.0016,-0.0057,0.0076,9290
2019-12-31,"35055","AL","Cullman","Cullman County","Cullman",4946,980,0.007,0.0684,0.0221,7484
2019-12-31,"85043","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",4947,1240,0.0101,0.0365,0.1,10242
2019-12-31,"55316","MN","Minneapolis-St. Paul-Bloomington","Hennepin County","Champlin",4948,1570,0.0223,0.0304,0.0325,8689
2019-12-31,"97338","OR","Salem","Polk County","Dallas",4949,1480,0.0013,0.0362,0.0277,7064
2019-12-31,"23237","VA","Richmond","Chesterfield County","Bellwood",4950,1290,-0.0091,-0.0348,-0.039,9385
2019-12-31,"32836","FL","Orlando-Kissimmee-Sanford","Orange County","Doctor Phillips",4951,2000,-0.0089,-0.0076,-0.0128,7309
2019-12-31,"08879","NJ","New York-Newark-Jersey City","Middlesex County","South Amboy",4952,1910,0.007,-0.0054,-0.0017,5832
